graph,ca,cb,obs_w,obs_over_exp
reply,13,9,0.0,0.0
reply,13,10,1.0,0.456
reply,13,11,1.0,2.964
reply,13,12,0.0,0.0
reply,13,13,3.0,10.077
reply,13,14,0.0,0.0
reply,13,15,0.0,0.0
reply,14,0,0.0,0.0
reply,14,1,2.0,2.422
reply,14,2,1.0,1.294
reply,14,3,0.0,0.0
reply,14,4,0.0,0.0
reply,14,5,0.0,0.0
reply,14,6,0.0,0.0
reply,14,7,0.0,0.0
reply,14,8,0.0,
reply,14,9,0.0,0.0
reply,14,10,7.0,5.984
reply,14,11,0.0,0.0
reply,14,12,0.0,0.0
reply,14,13,0.0,0.0
reply,14,14,6.0,70.852
reply,14,15,0.0,0.0
reply,15,0,6.0,1.315
reply,15,1,8.0,2.72
reply,15,2,2.0,0.727
reply,15,3,14.0,2.045
reply,15,4,0.0,0.0
reply,15,5,0.0,0.0
reply,15,6,6.0,2.486
reply,15,7,4.0,1.387
reply,15,8,0.0,
reply,15,9,0.0,0.0
reply,15,10,9.0,2.16
reply,15,11,0.0,0.0
reply,15,12,0.0,0.0
reply,15,13,0.0,0.0
reply,15,14,0.0,0.0
reply,15,15,8.0,7.444
